# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).

#  ombh2   DeltaN    Yp    

52 25

0.005000 -3.000000 0.173133
0.006000 -3.000000 0.175632
0.007000 -3.000000 0.177566
0.008000 -3.000000 0.179152
0.009000 -3.000000 0.180462
0.010000 -3.000000 0.181608
0.011000 -3.000000 0.182623
0.012000 -3.000000 0.183525
0.013000 -3.000000 0.184328
0.014000 -3.000000 0.185083
0.015000 -3.000000 0.185765
0.016000 -3.000000 0.186373
0.017000 -3.000000 0.186976
0.018000 -3.000000 0.187503
0.019000 -3.000000 0.188023
0.020000 -3.000000 0.188501
0.020200 -3.000000 0.188596
0.020400 -3.000000 0.188688
0.020600 -3.000000 0.188793
0.020800 -3.000000 0.188874
0.021000 -3.000000 0.188961
0.021200 -3.000000 0.189033
0.021400 -3.000000 0.189134
0.021600 -3.000000 0.189225
0.021800 -3.000000 0.189316
0.022000 -3.000000 0.189412
0.022200 -3.000000 0.189474
0.022400 -3.000000 0.189561
0.022600 -3.000000 0.189639
0.022800 -3.000000 0.189720
0.023000 -3.000000 0.189803
0.023200 -3.000000 0.189897
0.023400 -3.000000 0.189958
0.023600 -3.000000 0.190040
0.023800 -3.000000 0.190124
0.024000 -3.000000 0.190194
0.025000 -3.000000 0.190582
0.026000 -3.000000 0.190929
0.027000 -3.000000 0.191273
0.028000 -3.000000 0.191604
0.029000 -3.000000 0.191925
0.030000 -3.000000 0.192230
0.031000 -3.000000 0.192536
0.032000 -3.000000 0.192806
0.033000 -3.000000 0.193076
0.034000 -3.000000 0.193366
0.035000 -3.000000 0.193614
0.036000 -3.000000 0.193858
0.037000 -3.000000 0.194100
0.038000 -3.000000 0.194353
0.039000 -3.000000 0.194582
0.040000 -3.000000 0.194803
0.005000 -2.500000 0.186399
0.006000 -2.500000 0.189026
0.007000 -2.500000 0.191069
0.008000 -2.500000 0.192719
0.009000 -2.500000 0.194099
0.010000 -2.500000 0.195293
0.011000 -2.500000 0.196330
0.012000 -2.500000 0.197267
0.013000 -2.500000 0.198098
0.014000 -2.500000 0.198869
0.015000 -2.500000 0.199562
0.016000 -2.500000 0.200218
0.017000 -2.500000 0.200817
0.018000 -2.500000 0.201367
0.019000 -2.500000 0.201898
0.020000 -2.500000 0.202395
0.020200 -2.500000 0.202481
0.020400 -2.500000 0.202576
0.020600 -2.500000 0.202668
0.020800 -2.500000 0.202781
0.021000 -2.500000 0.202869
0.021200 -2.500000 0.202962
0.021400 -2.500000 0.203043
0.021600 -2.500000 0.203129
0.021800 -2.500000 0.203215
0.022000 -2.500000 0.203302
0.022200 -2.500000 0.203379
0.022400 -2.500000 0.203466
0.022600 -2.500000 0.203552
0.022800 -2.500000 0.203647
0.023000 -2.500000 0.203727
0.023200 -2.500000 0.203804
0.023400 -2.500000 0.203880
0.023600 -2.500000 0.203964
0.023800 -2.500000 0.204043
0.024000 -2.500000 0.204123
0.025000 -2.500000 0.204517
0.026000 -2.500000 0.204874
0.027000 -2.500000 0.205234
0.028000 -2.500000 0.205573
0.029000 -2.500000 0.205879
0.030000 -2.500000 0.206198
0.031000 -2.500000 0.206490
0.032000 -2.500000 0.206802
0.033000 -2.500000 0.207073
0.034000 -2.500000 0.207343
0.035000 -2.500000 0.207613
0.036000 -2.500000 0.207868
0.037000 -2.500000 0.208118
0.038000 -2.500000 0.208357
0.039000 -2.500000 0.208597
0.040000 -2.500000 0.208811
0.005000 -2.000000 0.196178
0.006000 -2.000000 0.198910
0.007000 -2.000000 0.201014
0.008000 -2.000000 0.202702
0.009000 -2.000000 0.204138
0.010000 -2.000000 0.205337
0.011000 -2.000000 0.206409
0.012000 -2.000000 0.207345
0.013000 -2.000000 0.208198
0.014000 -2.000000 0.208973
0.015000 -2.000000 0.209683
0.016000 -2.000000 0.210341
0.017000 -2.000000 0.210951
0.018000 -2.000000 0.211518
0.019000 -2.000000 0.212033
0.020000 -2.000000 0.212530
0.020200 -2.000000 0.212625
0.020400 -2.000000 0.212736
0.020600 -2.000000 0.212813
0.020800 -2.000000 0.212912
0.021000 -2.000000 0.213006
0.021200 -2.000000 0.213110
0.021400 -2.000000 0.213201
0.021600 -2.000000 0.213279
0.021800 -2.000000 0.213361
0.022000 -2.000000 0.213459
0.022200 -2.000000 0.213535
0.022400 -2.000000 0.213624
0.022600 -2.000000 0.213713
0.022800 -2.000000 0.213788
0.023000 -2.000000 0.213884
0.023200 -2.000000 0.213961
0.023400 -2.000000 0.214026
0.023600 -2.000000 0.214120
0.023800 -2.000000 0.214202
0.024000 -2.000000 0.214276
0.025000 -2.000000 0.214656
0.026000 -2.000000 0.215029
0.027000 -2.000000 0.215378
0.028000 -2.000000 0.215730
0.029000 -2.000000 0.216053
0.030000 -2.000000 0.216370
0.031000 -2.000000 0.216670
0.032000 -2.000000 0.216964
0.033000 -2.000000 0.217231
0.034000 -2.000000 0.217502
0.035000 -2.000000 0.217785
0.036000 -2.000000 0.218037
0.037000 -2.000000 0.218301
0.038000 -2.000000 0.218520
0.039000 -2.000000 0.218757
0.040000 -2.000000 0.218996
0.005000 -1.500000 0.204937
0.006000 -1.500000 0.207751
0.007000 -1.500000 0.209922
0.008000 -1.500000 0.211650
0.009000 -1.500000 0.213097
0.010000 -1.500000 0.214335
0.011000 -1.500000 0.215415
0.012000 -1.500000 0.216383
0.013000 -1.500000 0.217238
0.014000 -1.500000 0.218022
0.015000 -1.500000 0.218725
0.016000 -1.500000 0.219400
0.017000 -1.500000 0.220001
0.018000 -1.500000 0.220570
0.019000 -1.500000 0.221095
0.020000 -1.500000 0.221598
0.020200 -1.500000 0.221709
0.020400 -1.500000 0.221791
0.020600 -1.500000 0.221884
0.020800 -1.500000 0.221986
0.021000 -1.500000 0.222080
0.021200 -1.500000 0.222171
0.021400 -1.500000 0.222270
0.021600 -1.500000 0.222341
0.021800 -1.500000 0.222438
0.022000 -1.500000 0.222519
0.022200 -1.500000 0.222630
0.022400 -1.500000 0.222684
0.022600 -1.500000 0.222776
0.022800 -1.500000 0.222859
0.023000 -1.500000 0.222947
0.023200 -1.500000 0.223034
0.023400 -1.500000 0.223117
0.023600 -1.500000 0.223198
0.023800 -1.500000 0.223284
0.024000 -1.500000 0.223342
0.025000 -1.500000 0.223732
0.026000 -1.500000 0.224118
0.027000 -1.500000 0.224463
0.028000 -1.500000 0.224806
0.029000 -1.500000 0.225130
0.030000 -1.500000 0.225452
0.031000 -1.500000 0.225755
0.032000 -1.500000 0.226036
0.033000 -1.500000 0.226322
0.034000 -1.500000 0.226596
0.035000 -1.500000 0.226859
0.036000 -1.500000 0.227111
0.037000 -1.500000 0.227371
0.038000 -1.500000 0.227605
0.039000 -1.500000 0.227835
0.040000 -1.500000 0.228065
0.005000 -1.000000 0.212873
0.006000 -1.000000 0.215806
0.007000 -1.000000 0.218024
0.008000 -1.000000 0.219783
0.009000 -1.000000 0.221267
0.010000 -1.000000 0.222519
0.011000 -1.000000 0.223626
0.012000 -1.000000 0.224600
0.013000 -1.000000 0.225450
0.014000 -1.000000 0.226250
0.015000 -1.000000 0.226965
0.016000 -1.000000 0.227632
0.017000 -1.000000 0.228244
0.018000 -1.000000 0.228809
0.019000 -1.000000 0.229354
0.020000 -1.000000 0.229859
0.020200 -1.000000 0.229943
0.020400 -1.000000 0.230037
0.020600 -1.000000 0.230137
0.020800 -1.000000 0.230228
0.021000 -1.000000 0.230322
0.021200 -1.000000 0.230413
0.021400 -1.000000 0.230506
0.021600 -1.000000 0.230599
0.021800 -1.000000 0.230680
0.022000 -1.000000 0.230766
0.022200 -1.000000 0.230865
0.022400 -1.000000 0.230955
0.022600 -1.000000 0.231027
0.022800 -1.000000 0.231115
0.023000 -1.000000 0.231203
0.023200 -1.000000 0.231270
0.023400 -1.000000 0.231367
0.023600 -1.000000 0.231438
0.023800 -1.000000 0.231523
0.024000 -1.000000 0.231618
0.025000 -1.000000 0.231995
0.026000 -1.000000 0.232370
0.027000 -1.000000 0.232716
0.028000 -1.000000 0.233052
0.029000 -1.000000 0.233383
0.030000 -1.000000 0.233700
0.031000 -1.000000 0.234000
0.032000 -1.000000 0.234289
0.033000 -1.000000 0.234567
0.034000 -1.000000 0.234834
0.035000 -1.000000 0.235112
0.036000 -1.000000 0.235364
0.037000 -1.000000 0.235605
0.038000 -1.000000 0.235850
0.039000 -1.000000 0.236091
0.040000 -1.000000 0.236323
0.005000 -0.750000 0.216610
0.006000 -0.750000 0.219575
0.007000 -0.750000 0.221813
0.008000 -0.750000 0.223611
0.009000 -0.750000 0.225091
0.010000 -0.750000 0.226363
0.011000 -0.750000 0.227468
0.012000 -0.750000 0.228446
0.013000 -0.750000 0.229293
0.014000 -0.750000 0.230097
0.015000 -0.750000 0.230813
0.016000 -0.750000 0.231469
0.017000 -0.750000 0.232105
0.018000 -0.750000 0.232672
0.019000 -0.750000 0.233209
0.020000 -0.750000 0.233713
0.020200 -0.750000 0.233799
0.020400 -0.750000 0.233906
0.020600 -0.750000 0.234001
0.020800 -0.750000 0.234094
0.021000 -0.750000 0.234193
0.021200 -0.750000 0.234283
0.021400 -0.750000 0.234365
0.021600 -0.750000 0.234458
0.021800 -0.750000 0.234549
0.022000 -0.750000 0.234626
0.022200 -0.750000 0.234717
0.022400 -0.750000 0.234790
0.022600 -0.750000 0.234896
0.022800 -0.750000 0.234982
0.023000 -0.750000 0.235051
0.023200 -0.750000 0.235135
0.023400 -0.750000 0.235224
0.023600 -0.750000 0.235303
0.023800 -0.750000 0.235392
0.024000 -0.750000 0.235455
0.025000 -0.750000 0.235847
0.026000 -0.750000 0.236227
0.027000 -0.750000 0.236573
0.028000 -0.750000 0.236913
0.029000 -0.750000 0.237247
0.030000 -0.750000 0.237544
0.031000 -0.750000 0.237856
0.032000 -0.750000 0.238159
0.033000 -0.750000 0.238428
0.034000 -0.750000 0.238705
0.035000 -0.750000 0.238958
0.036000 -0.750000 0.239220
0.037000 -0.750000 0.239468
0.038000 -0.750000 0.239708
0.039000 -0.750000 0.239948
0.040000 -0.750000 0.240171
0.005000 -0.500000 0.220173
0.006000 -0.500000 0.223183
0.007000 -0.500000 0.225451
0.008000 -0.500000 0.227258
0.009000 -0.500000 0.228765
0.010000 -0.500000 0.230044
0.011000 -0.500000 0.231152
0.012000 -0.500000 0.232138
0.013000 -0.500000 0.233000
0.014000 -0.500000 0.233785
0.015000 -0.500000 0.234522
0.016000 -0.500000 0.235184
0.017000 -0.500000 0.235797
0.018000 -0.500000 0.236369
0.019000 -0.500000 0.236916
0.020000 -0.500000 0.237423
0.020200 -0.500000 0.237515
0.020400 -0.500000 0.237617
0.020600 -0.500000 0.237705
0.020800 -0.500000 0.237790
0.021000 -0.500000 0.237896
0.021200 -0.500000 0.237986
0.021400 -0.500000 0.238074
0.021600 -0.500000 0.238149
0.021800 -0.500000 0.238260
0.022000 -0.500000 0.238339
0.022200 -0.500000 0.238411
0.022400 -0.500000 0.238504
0.022600 -0.500000 0.238605
0.022800 -0.500000 0.238686
0.023000 -0.500000 0.238773
0.023200 -0.500000 0.238850
0.023400 -0.500000 0.238930
0.023600 -0.500000 0.239010
0.023800 -0.500000 0.239080
0.024000 -0.500000 0.239177
0.025000 -0.500000 0.239561
0.026000 -0.500000 0.239930
0.027000 -0.500000 0.240282
0.028000 -0.500000 0.240618
0.029000 -0.500000 0.240958
0.030000 -0.500000 0.241265
0.031000 -0.500000 0.241563
0.032000 -0.500000 0.241856
0.033000 -0.500000 0.242131
0.034000 -0.500000 0.242411
0.035000 -0.500000 0.242670
0.036000 -0.500000 0.242935
0.037000 -0.500000 0.243177
0.038000 -0.500000 0.243405
0.039000 -0.500000 0.243650
0.040000 -0.500000 0.243876
0.005000 -0.250000 0.223610
0.006000 -0.250000 0.226664
0.007000 -0.250000 0.228967
0.008000 -0.250000 0.230795
0.009000 -0.250000 0.232313
0.010000 -0.250000 0.233575
0.011000 -0.250000 0.234699
0.012000 -0.250000 0.235677
0.013000 -0.250000 0.236565
0.014000 -0.250000 0.237356
0.015000 -0.250000 0.238081
0.016000 -0.250000 0.238751
0.017000 -0.250000 0.239379
0.018000 -0.250000 0.239932
0.019000 -0.250000 0.240470
0.020000 -0.250000 0.240978
0.020200 -0.250000 0.241072
0.020400 -0.250000 0.241166
0.020600 -0.250000 0.241264
0.020800 -0.250000 0.241369
0.021000 -0.250000 0.241454
0.021200 -0.250000 0.241548
0.021400 -0.250000 0.241647
0.021600 -0.250000 0.241728
